Year,Global Price (Us Dollar/lbs)
2000,0.9046672
2001,0.556893442622951
2002,0.540033333333333
2003,0.624607228915663
2004,0.767397991967872
2005,1.08108446215139
2006,1.0847164
2007,1.18004417670683
2008,1.32620869565217
2009,1.25758531746032
2010,1.64160793650794
2011,2.53381553784861
2012,1.75279682539683
2013,1.26250952380952
2014,1.78402450592885
2015,1.33150793650794
2016,1.36825317460317
2017,1.33455634920635
2018,1.13604365079365
2019,1.01823984375
2020,1.11377054263566
2021,1.69332084942085
2022,2.14428803088803

